ano,distrito,concelho,energia_ativa_kwh,cpes,kwh_por_cpe,Preco_Final,annual_expenditure,concelho_limpo,income,energy_expenditure_ratio,energy_poverty
2022,Aveiro,Albergaria-a-Velha,50608190.0,14082,3593.8211901718505,0.22104739916945426,794.4048271675603,albergaria a velha,18642.380565112097,4.261284251723908,0
2022,Aveiro,Anadia,57570666.0,17134,3360.0248628458035,0.22104739916945426,742.7247570767671,anadia,18596.008358110998,3.9940009854470397,0
2022,Aveiro,Arouca,41872995.0,12546,3337.557388809182,0.22104739916945426,737.7583803750648,arouca,16156.268765693358,4.566390860875255,0
2022,Aveiro,Aveiro,179395482.734,50830,3529.322894629156,0.22104739916945426,780.1476466869848,aveiro,23380.03218542609,3.336811688280261,0
2022,Aveiro,Castelo de Paiva,26492718.0,7946,3334.094890510949,0.22104739916945426,736.9930041316117,castelo de paiva,14742.302374033174,4.999171672328048,0
2022,Aveiro,Espinho,62180220.6,18476,3365.4590062784155,0.22104739916945426,743.9259603492598,espinho,20261.440448127458,3.671634118284086,0
2022,Aveiro,Estarreja,49884519.0,14304,3487.4523909395975,0.22104739916945426,770.8922807444928,estarreja,18582.91609202576,4.148392410141138,0
2022,Aveiro,Mealhada,35622267.0,11422,3118.741638942392,0.22104739916945426,689.3897279696969,mealhada,19447.588333795542,3.54485973343899,0
2022,Aveiro,Murtosa,22175040.0,8526,2600.8726249120336,0.22104739916945426,574.9161293078366,murtosa,17619.412309462965,3.2629699516087887,0
2022,Aveiro,Oliveira de Azeméis,119666812.596,32962,3630.447563740064,0.22104739916945426,802.5009917858227,oliveira de azemeis,18327.436719979472,4.378686469073901,0
2022,Aveiro,Oliveira do Bairro,47035235.0,13539,3474.055321663343,0.22104739916945426,767.9308934244838,oliveira do bairro,18345.860455660037,4.185853780369091,0
2022,Aveiro,Ovar,110189256.0,32031,3440.0816708813336,0.22104739916945426,760.4211062788294,ovar,19602.017989551587,3.879300114325753,0
2022,Aveiro,Santa Maria da Feira,253117705.29,71484,3540.90013555481,0.22104739916945426,782.7067656831588,santa maria da feira,18249.14774871863,4.289004486459466,0
2022,Aveiro,Sever do Vouga,23661555.0,7612,3108.4544140830267,0.22104739916945426,687.1157636698629,sever do vouga,17451.00377720854,3.937399661601436,0
2022,Aveiro,São João da Madeira,56338854.0,13407,4202.196912060864,0.22104739916945426,928.8846982089658,sao joao da madeira,18859.925488275927,4.925176924937467,0
2022,Aveiro,Vagos,44825651.266,15431,2904.9090315598473,0.22104739916945426,642.1225862501624,vagos,17589.03397381432,3.6506984249738936,0
2022,Aveiro,Vale de Cambra,42376464.0,13304,3185.2423331328923,0.22104739916945426,704.0895334634703,vale de cambra,18806.159725352667,3.7439304129395654,0
2022,Aveiro,Águeda,84751813.0,24389,3475.001558079462,0.22104739916945426,768.1400565232664,agueda,18765.11711458227,4.093446642687612,0
2022,Aveiro,Ílhavo,69153800.0,25080,2757.3285486443383,0.22104739916945426,609.5003043335171,ilhavo,20809.297586644567,2.9289806722005607,0
2022,Beja,Aljustrel,21041634.0,5975,3521.6123849372384,0.22104739916945426,778.4432585733156,aljustrel,19873.58099852865,3.91697529816568,0
2022,Beja,Almodôvar,15446665.0,5643,2737.314371788056,0.22104739916945426,605.0762225929184,almodovar,19064.93334149411,3.1737652146729136,0
2022,Beja,Alvito,5633743.0,1676,3361.4218377088305,0.22104739916945426,743.0335547369443,alvito,18107.792557639776,4.103391136008207,0
2022,Beja,Barrancos,3034860.0,1231,2465.36149471974,0.22104739916945426,544.9617464203168,barrancos,15125.622624565825,3.6029045543899367,0
2022,Beja,Beja,83114675.0,22764,3651.1454489544894,0.22104739916945426,807.0762054807793,beja,21316.96898594476,3.786073930177039,0
2022,Beja,Castro Verde,15805945.0,4954,3190.541986273718,0.22104739916945426,705.26100800675,castro verde,23206.25323267153,3.0390989917055196,0
2022,Beja,Cuba,11017592.0,3103,3550.625845955527,0.22104739916945426,784.8566086723126,cuba,17683.819519616216,4.438275383899338,0
2022,Beja,Ferreira do Alentejo,19717429.0,5219,3778.00900555662,0.22104739916945426,835.1190647170672,ferreira do alentejo,15979.430785208138,5.226212847895192,1
