,ano,distrito,concelho,energia_ativa_kwh,cpes,kwh_por_cpe
984,2025,Portalegre,Arronches,8353976.313,2342,3567.026606746371
985,2025,Portalegre,Avis,10413746.716,3152,3303.8536535532994
986,2025,Portalegre,Campo Maior,18283475.124,5352,3416.194903587444
987,2025,Portalegre,Castelo de Vide,7313319.391,2974,2459.085202084734
988,2025,Portalegre,Crato,8067285.84,3158,2554.555364154528
989,2025,Portalegre,Elvas,45715261.246,13559,3371.5805919315585
990,2025,Portalegre,Fronteira,7541159.041,2580,2922.9298608527133
991,2025,Portalegre,Gavião,7364021.708,3549,2074.9568069878837
992,2025,Portalegre,Marvão,7571120.456,2832,2673.418240112994
993,2025,Portalegre,Monforte,6628744.16,2229,2973.8645850157022
994,2025,Portalegre,Nisa,13053008.082,6926,1884.6387643661565
995,2025,Portalegre,Ponte de Sor,31830370.693,10961,2903.965942249795
996,2025,Portalegre,Portalegre,43643911.25,15874,2749.3959462013354
997,2025,Portalegre,Sousel,12083271.203,3576,3378.990828579418
998,2025,Porto,Amarante,87750932.532,32419,2706.7748089700485
999,2025,Porto,Baião,27669758.332,12054,2295.483518500083
1000,2025,Porto,Felgueiras,95363793.748,28523,3343.3998439154366
1001,2025,Porto,Gondomar,245690642.202,84406,2910.819636068526
1002,2025,Porto,Lousada,80817154.569,23470,3443.423714060503
1003,2025,Porto,Maia,259446991.974,72406,3583.2250362400905
1004,2025,Porto,Marco de Canaveses,91413227.272,27718,3297.9734205931163
1005,2025,Porto,Matosinhos,333792138.673,99726,3347.092419960692
1006,2025,Porto,Paredes,118690301.226,33937,3497.3716364439993
1007,2025,Porto,Paços de Ferreira,102762876.522,26918,3817.626737573371
1008,2025,Porto,Penafiel,122704476.475,36449,3366.470314000384
1009,2025,Porto,Porto,671452370.916,180437,3721.2565655381104
1010,2025,Porto,Póvoa de Varzim,126750672.932,46074,2751.0238514563525
1011,2025,Porto,Santo Tirso,100313992.512,31074,3228.2291469395636
1012,2025,Porto,Trofa,69350080.976,19390,3576.5900451779266
1013,2025,Porto,Valongo,148233448.34,48949,3028.3243445218495
1014,2025,Porto,Vila Nova de Gaia,530946537.652,167491,3170.0004039142405
1015,2025,Porto,Vila do Conde,158092158.583,48140,3284.0082796634815
1016,2025,Santarém,Abrantes,63239831.525,25330,2496.6376440979075
1017,2025,Santarém,Alcanena,24071776.323,8351,2882.502253981559
1018,2025,Santarém,Almeirim,46684010.237,14192,3289.4595713782414
1019,2025,Santarém,Alpiarça,15877127.146,4582,3465.1084997817547
1020,2025,Santarém,Benavente,60770212.262,17914,3392.330705705035
1021,2025,Santarém,Cartaxo,44992006.112,14903,3018.9898753271154
1022,2025,Santarém,Chamusca,20877551.254,6190,3372.7869554119548
1023,2025,Santarém,Constância,7489986.996,2472,3029.930014563107
1024,2025,Santarém,Coruche,34926105.203999996,11701,2984.882078796684
1025,2025,Santarém,Entroncamento,31802078.234,12847,2475.447827041333
1026,2025,Santarém,Ferreira do Zêzere,17963127.426,8004,2244.2687938530735
1027,2025,Santarém,Golegã,18230272.036,4232,4307.720235349716
1028,2025,Santarém,Mação,13777119.994,6875,2003.9447264
1029,2025,Santarém,Ourém,93226167.995,32841,2838.712828324351
1030,2025,Santarém,Rio Maior,41469944.881,13564,3057.3536479652016
1031,2025,Santarém,Salvaterra de Magos,44329144.895,13154,3370.0125357305765
1032,2025,Santarém,Santarém,123775110.568,38455,3218.7000537771423
1033,2025,Santarém,Sardoal,7106343.495,3051,2329.1850196656833
1034,2025,Santarém,Tomar,69247830.971,27765,2494.0691867819196
1035,2025,Santarém,Torres Novas,65519066.833,22336,2933.3393102166906
1036,2025,Santarém,Vila Nova da Barquinha,12136999.104,4459,2721.9105413769903
1037,2025,Setúbal,Alcochete,41741158.412,11952,3492.399465528782
1038,2025,Setúbal,Alcácer do Sal,30908957.687,8561,3610.4377627613594
1039,2025,Setúbal,Almada,295764201.886,117792,2510.9022844165984
1040,2025,Setúbal,Barreiro,109883773.799,50060,2195.0414262684776
1041,2025,Setúbal,Grândola,51794735.719000004,13135,3943.261189113057
1042,2025,Setúbal,Moita,87571121.899,39845,2197.794501167022
1043,2025,Setúbal,Montijo,108673655.583,33545,3239.637966403339
1044,2025,Setúbal,Palmela,133034256.512,40634,3273.9640820987347
1045,2025,Setúbal,Santiago do Cacém,58772331.913,20816,2823.4210181110684
1046,2025,Setúbal,Seixal,249436638.289,95614,2608.787816522685
1047,2025,Setúbal,Sesimbra,97983183.289,37415,2618.8208817051986
1048,2025,Setúbal,Setúbal,206669728.049,76851,2689.2262696516636
1049,2025,Setúbal,Sines,28237051.491,10073,2803.2414862503724
1050,2025,Viana do Castelo,Arcos de Valdevez,40751169.527,19516,2088.090260657922
1051,2025,Viana do Castelo,Caminha,38556290.92,16573,2326.4521160924396
1052,2025,Viana do Castelo,Melgaço,16208621.86,8099,2001.3115026546486
1053,2025,Viana do Castelo,Monção,37423583.423,15292,2447.265460567617
1054,2025,Viana do Castelo,Paredes de Coura,15157322.576,6676,2270.4197986818454
1055,2025,Viana do Castelo,Ponte da Barca,20452777.155,9466,2160.656787978027
1056,2025,Viana do Castelo,Ponte de Lima,76862608.237,26795,2868.5429459600673
1057,2025,Viana do Castelo,Valença,29258782.802,10360,2824.206834169884
1058,2025,Viana do Castelo,Viana do Castelo,162363673.467,58192,2790.1373636754192
1059,2025,Viana do Castelo,Vila Nova de Cerveira,20175986.25,6916,2917.291244939271
1060,2025,Vila Real,Alijó,18965891.945,9146,2073.681603433195
1061,2025,Vila Real,Boticas,9632159.728,4891,1969.3640826006952
1062,2025,Vila Real,Chaves,70845805.319,31226,2268.8082149170564
1063,2025,Vila Real,Mesão Frio,6004474.612,2422,2479.1389810074315
1064,2025,Vila Real,Mondim de Basto,10863320.06,5319,2042.3613573980072
1065,2025,Vila Real,Montalegre,17146680.711,10542,1626.5111659077972
1066,2025,Vila Real,Murça,9577802.765,4485,2135.519011148272
1067,2025,Vila Real,Peso da Régua,24831402.415,10331,2403.581687639144
1068,2025,Vila Real,Ribeira de Pena,11150323.624,5090,2190.633324950884
1069,2025,Vila Real,Sabrosa,10502850.405,4994,2103.0937935522625
1070,2025,Vila Real,Santa Marta de Penaguião,8987270.166,4551,1974.7901924851678
1071,2025,Vila Real,Valpaços,27554607.009,13962,1973.5429744305973
1072,2025,Vila Real,Vila Pouca de Aguiar,22969844.73,10714,2143.9093457158856
1073,2025,Vila Real,Vila Real,97818641.126,35430,2760.898705221564
1074,2025,Viseu,Armamar,13440616.922,5199,2585.231183304482
1075,2025,Viseu,Carregal do Sal,15770015.759,7459,2114.2265396165703
1076,2025,Viseu,Castro daire,25170518.033,12783,1969.0618816396777
1077,2025,Viseu,Cinfães,26894058.768,12401,2168.7008118700105
1078,2025,Viseu,Lamego,41253716.843,18286,2256.027389423603
1079,2025,Viseu,Mangualde,32850213.522,13603,2414.9241727560097
1080,2025,Viseu,Moimenta da Beira,19618400.187,8602,2280.678933620088
1081,2025,Viseu,Mortágua,15295115.73,6778,2256.5824328710537
1082,2025,Viseu,Nelas,22047497.935,9677,2278.340181357859
1083,2025,Viseu,Oliveira de Frades,17042530.013,6858,2485.0583279381744
1084,2025,Viseu,Penalva do Castelo,12106077.516,6053,2000.012806211796
1085,2025,Viseu,Penedono,5433142.446,2844,1910.3876392405066
1086,2025,Viseu,Resende,14965469.98,7766,1927.0499587947463
1087,2025,Viseu,Santa Comba Dão,17467202.562,8030,2175.2431584059773
1088,2025,Viseu,Sernancelhe,10456343.692,4770,2192.105595807128
1089,2025,Viseu,Sátão,18817712.564,9611,1957.9349249817917
1090,2025,Viseu,São João da Pesqueira,12849718.647,5836,2201.802372686772
1091,2025,Viseu,São Pedro do Sul,25676377.08,12452,2062.0283552842916
1092,2025,Viseu,Tabuaço,8244922.009,4390,1878.1143528473804
1093,2025,Viseu,Tarouca,13042812.68,6690,1949.598307922272
1094,2025,Viseu,Tondela,44057905.059,19560,2252.4491338957055
1095,2025,Viseu,Vila Nova de Paiva,9826215.462,4766,2061.7321573646664
1096,2025,Viseu,Viseu,196179231.156,67895,2889.4503447381985
1097,2025,Viseu,Vouzela,17447211.454,7415,2352.9617604855025
1098,2025,Évora,Alandroal,12727901.505,4172,3050.791348274209
1099,2025,Évora,Arraiolos,16555697.321,4898,3380.0933689260924
